Country Name,Country Code,Year,Agriculture (% GDP),Ease of Doing Business,Education Expenditure (% GDP),Export (% GDP),GDP,Health Expenditure (% GDP),Import (% GDP),Industry (% GDP),Inflation Rate,R&D,Service (% GDP),Unemployment,Population,Land,Continent Name,Export,Import,Education Expenditure,Health Expenditure,Net Trade,GDP Per Capita,Population Density
Afghanistan,AFG,2022,27.5011266516953,40.717968,13.670101109673000,,14151970480.742800,10.902579734500000,,20.49490897600070,6.124619936291190,,48.30275327709020,8.804142857142860,41128771.0,652860.0,Asia,,,1934588673.728620,1542929865.6658900,,344.0893111234190,62.99784180375580
Albania,ALB,2022,18.6280324517934,64.76366000000000,11.672968462893800,37.4634354302553,18882095517.8768,6.093392245789470,47.8418782928407,21.4332510450146,6.72520271530062,22818067.850032400,47.292615040548,11.808,2775634.0,28750.0,Europe,7073881662.218910,9033549156.800550,2204101054.935250,1150560144.128870,-1959667494.5816400,6802.804518851120,96.54379130434780
Algeria,DZA,2022,11.384083968233,46.736176,15.3546171188354,31.6769143599338,191912889420.911,5.0354502100000000,22.4390739564795,42.2974337654054,9.26551551551551,497962769.70504700,42.2015510546421,11.55,44903225.0,2381740.285714290,Africa,60792081627.53640,43063475189.17500,29467489372.274900,9663677993.362330,17728606438.36150,4273.922183115160,18.85311562697670
American Samoa,ASM,2022,,,,76.96916670507670,601100000.0,,106.0417150795410,,,1916892.8763121400,,,44273.0,200.0,Oceania,462661661.06421600,637416749.3431220,,,-174755088.27890600,13577.123754884500,221.365
Andorra,AND,2022,0.495686274509804,,10.639908027648900,,3352032737.0391,6.521148340952380,,11.921568627451,,,78.1396078431373,,79824.0,470.0,Europe,,,356653200.27764300,218591027.219606,,41992.79335837720,169.83829787234000
Angola,AGO,2022,13.6491094624883,39.344634,6.64047193527222,54.02599299516700,106713618735.434,2.9565301861904800,38.74483401254090,44.8763995482735,45.993529551671000,34457827.989616900,41.5760078018205,10.209,35588987.0,1246700.0,Africa,57653092182.89480,41346014447.81960,7086287903.239890,3155020350.689320,16307077735.07520,2998.501158109220,28.54655249859630
Antigua and Barbuda,ATG,2022,1.85732678963151,59.596168,10.2930965423584,80.66390091163780,1757603703.7037,5.06586880952381,73.36228786741370,21.302994607557,7.53107834634288,,65.5829801939931,,93763.0,440.0,North America,1417751709.9748300,1289418288.6794300,180911846.05428900,89037897.82096100,128333421.29539500,18745.173508779600,213.09772727272700
Argentina,ARG,2022,6.44416917103214,57.686538,14.630312420073000,16.7780368212333,632770284408.51,8.83831249047619,15.2982909529659,23.4032965023379,,3200751398.508980,53.0224492903165,6.491,46234830.0,2780400.0,South America,106166431311.88200,96803039172.72370,92576269510.34950,55926215082.899100,9363392139.158800,13686.008673731700,16.628841173931800
Armenia,ARM,2022,10.3643747119717,71.79071,11.390570977154900,47.6802377051659,19502783987.8807,8.299488044285710,50.7465094503647,25.561044734381,8.64091108973845,46685114.42078590,55.2734325325839,12.557,2780469.0,29740.0,Europe,9298973764.54655,9896982119.494090,2221478452.660750,1618631225.377030,-598008354.9475420,7014.206591722730,93.492568930733
Armenia,ARM,2022,10.3643747119717,71.79071,11.390570977154900,47.6802377051659,19502783987.8807,8.299488044285710,50.7465094503647,25.561044734381,8.64091108973845,46685114.42078590,55.2734325325839,12.557,2780469.0,29740.0,Asia,9298973764.54655,9896982119.494090,2221478452.660750,1618631225.377030,-598008354.9475420,7014.206591722730,93.492568930733
Aruba,ABW,2022,0.0190148268562249,,20.611759567260700,68.39468007780690,2618521874.0477400,,74.06611901201930,13.323195992381700,2.35586896905848,,77.63694670277930,,106445.0,180.0,North America,1790929658.5223500,1939437527.5879600,539723432.8948500,,-148507869.06561100,24599.763953663800,591.3611111111110
Australia,AUS,2022,3.17268869332033,80.657646,13.54875940435070,25.8121626590318,1675418665067.09,8.83534510952381,19.9417423001917,27.8759975418473,6.59409671341847,33768641551.45060,62.4279411758337,3.661,25978935.0,7741220.0,Oceania,432461791046.8970,334107672636.99100,226998443945.52500,148029021088.05400,98354118409.90550,64491.42988606310,3.355922580678500
Austria,AUT,2022,1.30790007521456,78.773098,10.560430572146500,60.7891206732362,471400066091.247,10.11081457090910,59.3391216002942,26.1770385837056,8.54686993188453,12479746627.909800,62.1108551339018,4.707,9042528.0,83879.0,Europe,286559955029.92300,279724658441.75200,49781876696.61870,47662386569.62890,6835296588.171080,52131.44665863870,107.80443257549600
Azerbaijan,AZE,2022,4.76455212671996,69.973916,13.0001859664917,60.0526953696522,78721058823.5294,3.0066287357142900,27.0250579484673,55.9361498306007,13.8522590144267,182289857.40251200,32.1967064646727,5.462,10175016.0,86600.0,Europe,47274117647.05880,21274411764.705900,10233884041.850100,2366849975.646780,25999705882.353000,7736.701232069750,117.49441108545000
Azerbaijan,AZE,2022,4.76455212671996,69.973916,13.0001859664917,60.0526953696522,78721058823.5294,3.0066287357142900,27.0250579484673,55.9361498306007,13.8522590144267,182289857.40251200,32.1967064646727,5.462,10175016.0,86600.0,Asia,47274117647.05880,21274411764.705900,10233884041.850100,2366849975.646780,25999705882.353000,7736.701232069750,117.49441108545000
Bahamas, The",BHS,2022,0.572983702141517,58.387126,9.91151523590088,37.5292694651635,12897400000.0,5.069233030952380,42.6675143827438,8.24197125001938,5.60540633583043,,79.3950718749515,10.056,409984.0,13880.0,North America,4840300000.000000,5503000000.000000,1278327766.0350800,653799260.9340530,-662700000.0000020,31458.300811739000,29.537752161383300
Bahrain,BHR,2022,0.25761747452519,70.12320400000000,9.29553604125977,81.75378147215320,44390820478.7234,3.953291239047620,65.42695369574910,47.8868998966716,3.62574104304492,44905752.790804800,47.9351122556037,1.399,1472233.0,755.0,Asia,36291174367.87130,29043561559.777500,4126364716.6106600,1754898416.9267300,7247612808.093860,30152.034683860100,1949.9774834437100
Bangladesh,BGD,2022,11.2176010351595,42.200396,11.9194583892822,12.8822264348985,460201000095.101,2.5794136200000000,20.897740835675,33.9200804971876,7.69695437176894,,51.0380826788136,4.699,171186372.0,148191.2857142860,Asia,59284134887.91840,96171612323.05870,54853466713.3961,11870487275.829200,-36887477435.140300,2688.303950358270,1155.1716497692700
Barbados,BRB,2022,1.4911584317019500,57.738316,15.5437622070313,39.55656642467570,5637914514.6379,6.653863157142860,46.04648849071820,14.193670869183800,3.6652802654534100,,72.61489461015790,8.203,281635.0,430.0,North America,2230165399.949170,2596061658.0992700,876344025.5910180,375139116.7207010,-365896258.1500980,20018.51515130540,654.9651162790700
Belarus,BLR,2022,7.70846614482636,72.714854,12.285882893730600,63.7082362285368,72793457588.4367,5.644072305714290,57.8746329177422,33.1868487882366,15.2096752740809,465211552.24371300,48.2761503652534,4.17,9208701.0,207600.47619047600,Europe,46375427919.36100,42128946367.440100,8943318953.612790,4108515380.120830,4246481551.9209100,7904.856242855180,44.35780287686280
Belgium,BEL,2022,0.659979812767606,73.350558,11.853204318455300,95.3284720419935,578604103123.349,9.87331245047619,97.7457529826763,20.7220338946034,9.59751172872498,13022852051.065000,68.2574516403673,5.631,11669446.0,30530.0,Europe,551574450679.769,565560937386.5780,68583126538.17630,57127390952.64370,-13986486706.809300,49582.825364918700,382.2288241074350
Belize,BLZ,2022,7.59920364854033,55.354768,20.33755934238430,49.6174023443358,2824081836.19867,5.382367565238090,52.5260338966199,15.8717420724687,1.3344156600097600,,59.22167937187,9.687,405272.0,22970.0,North America,1401236047.2000000,1483378182.550000,574349319.3144020,152002464.76733800,-82142135.34999870,6968.361584808890,17.643535045711800
Benin,BEN,2022,26.8964460711789,50.81442,18.953288630435300,21.6532095498925,17401746309.266,2.857870238571430,29.2803105204475,17.0177168089335,1.35077863583532,,46.8936616516736,1.654,13352864.0,114760.0,Africa,3768036593.686050,5095285355.333600,3298203204.731310,497319328.764215,-1327248761.6475500,1303.222013589440,116.35468804461500
Bermuda,BMU,2022,0.4367951202057790,,13.5179738998413,52.3183895106284,7550500000.0,,25.9678167008807,7.049556922051070,,15649354.959589700,90.17597327327640,,63532.0,1667.7142857142900,North America,3950300000.0000000,1960700000.000000,1020674619.3075200,,1989600000.0000000,118845.6211043250,38.09525441151280
Bhutan,BTN,2022,17.682149846018100,65.512594,19.6539344787598,36.91841202763740,1510240199.6244400,3.9075089971428600,57.99730393299860,40.062885772678200,5.63916671396365,,38.30985635485210,3.604,782455.0,38714.0,Asia,557556699.5043660,875898598.6945140,296821619.3060800,59012771.67879340,-318341899.19014800,1930.1304223558500,20.21116392002890
Bolivia,BOL,2022,11.525857389342100,50.835038,10.7916116714478,32.523140284006400,43068885672.9378,5.557799748095240,32.379010471509800,27.02024674401490,1.74632872945973,109249613.95302900,46.75256955354790,4.419,12224110.0,1098580.0,South America,14007354106.1679,13945279002.003100,4647826893.043260,2393682419.4379600,62075104.16480260,3523.2737330519600,11.127191465346200
Bosnia and Herzegovina,BIH,2022,4.71202605332016,65.00512600000000,,46.2465992213203,24527507287.7962,8.99111852238095,60.8934500925334,25.2148482558646,14.0208440826771,34002176.728657700,53.7373914389261,14.053,3233526.0,51210.0,Europe,11343137994.36720,14935645409.236700,,2205297250.8313800,-3592507414.8694300,7585.375001715220,63.14247217340360
Botswana,BWA,2022,1.7588160495711,65.84080200000000,18.92718844943580,43.476919334303,20352322157.1467,6.0189694000000000,42.0036634713743,37.4012470344691,11.665567478802,90156716.97057810,55.8729509756617,20.684,2630296.0,581730.0,Africa,8848562686.920150,8548720907.497850,3852122368.5194300,1225000042.82808,299841779.4222990,7737.6546811258900,4.521506540835100
Brazil,BRA,2022,6.81318197126279,56.827378,13.936185134084600,20.045538006281,1920095560995.06,8.551063401428570,19.2944556126532,20.6976228826191,9.2801060895687,21547235540.07880,58.9099871277796,9.461,215313498.0,8515770.0,South America,384893485436.1790,370471985736.71600,267588072131.612,164188588788.70300,14421499699.463000,8917.673897969280,25.28409034062690
British Virgin Islands,VGB,2022,,,14.3296022415161,,,,,,,,,,31305.0,150.0,North America,,,,,,,208.7
Brunei Darussalam,BRN,2022,1.09616029704876,65.53769600000000,9.092996756235770,86.3893569229457,16681531645.7347,2.2474406619047600,60.584609231513,67.9255854818627,3.68225030604209,14553802.294438200,32.5201825371859,7.203,449002.0,5770.0,Asia,14411067913.647900,10106440761.399500,1516851131.4371000,374907525.2347520,4304627152.248340,37152.46623786690,77.81663778162910
Bulgaria,BGR,2022,4.39944735523894,71.905592,10.816048526763900,68.5434948352448,89040398406.3745,7.055295036666670,67.7399268208132,25.9859766295137,15.3252589264366,535180709.4417350,57.6606835515456,4.402,6465097.0,110998.09523809500,Europe,61031400882.9547,60315900721.43860,9630652700.05739,6282062809.393160,715500161.5160900,13772.476794451000,58.24511660431750
Burkina Faso,BFA,2022,20.4000343919907,51.078568,21.9580974578857,18.171558729532100,18884619613.4388,4.707103626190480,28.27154058597320,29.3262670009789,14.2902354303358,43291732.156354700,40.9150777896183,5.175,22673762.0,274220.0,Africa,3431629743.904780,5338972898.520000,4146703179.26989,888918614.6164560,-1907343154.6152200,832.8842656740770,82.6845671358763
Burundi,BDI,2022,27.5667137824053,46.083270000000000,20.6370830535889,4.97109856996645,3073414677.84385,8.01927770952381,23.3442214236487,10.6377877568045,18.8008786664944,4882324.0999181,45.3736022424045,1.02,12889576.0,27830.0,Africa,152782473.0994350,717464727.6627880,634263139.647827,246465658.18156500,-564682254.5633530,238.4418756554790,463.1540064678410
Cabo Verde,CPV,2022,3.6883996976215,53.97336400000000,16.83806048499210,38.4892233239235,2314816792.06291,4.713205076666670,57.0094904522565,16.8037124399938,1.5781364831110100,1681482.9588155100,56.6719333238351,13.57,593149.0,4030.0,Africa,890955004.6367750,1319665258.058340,389770251.5643080,109102062.55904200,-428710253.4215600,3902.589049400590,147.1833746898260
Cambodia,KHM,2022,21.8692571046504,53.41262400000000,12.7159272564782,77.581781813023,29956769529.428,6.709669045238100,84.8311118120145,37.6674979752016,5.34370264895435,25168180.103347700,33.7353715954996,0.361,16767842.0,181040.0,Asia,23240995574.55100,25412660654.77660,3809281021.752890,2010000092.0693500,-2171665080.2255700,1786.560818585240,92.61954264250990
Cameroon,CMR,2022,16.9784357299602,44.163128,12.5704832077026,19.4123124396723,44341646509.2193,3.734955993333330,20.5009031682376,25.4800317532592,6.24767713343868,,50.4084974704298,4.001,27914536.0,475440.0,Africa,8607738961.264700,9090438014.057260,5573959228.460260,1656140983.8387700,-482699052.7925610,1588.4787233869600,58.7130573784284
Canada,CAN,2022,1.823739107908430,79.583546,12.082511742909700,33.7184874326734,2139840023673.81,10.150308565454500,33.5439527000462,26.864927490882100,6.80280115341612,39014673771.80390,64.6010144123475,5.209,38929902.0,9879750.0,North America,721521689461.769,717786925397.8000,258546422139.8710,217200365209.9870,3734764063.968870,54966.48883610880,3.940373187580660
Cayman Islands,CYM,2022,0.3521529896145590,,12.5284643173218,68.70004343602100,4816765170.908830,,45.05419049848110,7.769469366333610,0.464618513599479,,86.37678784042040,,68706.0,264.0,North America,3309119764.6255000,2170154555.965760,603466705.6864970,,1138965208.6597500,70106.90727023600,260.25
Central African Rep.,CAF,2022,29.3328932611903,33.344162,10.7420520782471,13.267355947447,2382618615.3562,5.212237369047620,32.6468704256085,19.0438359702367,5.58316735183246,,40.5648086846571,6.363,5579144.0,622980.0,Africa,316110492.5694400,777850412.091766,255942132.48757300,124187737.83148100,-461739919.5223260,427.0580962520770,8.955574817811170
Chad,TCD,2022,22.5951024858583,36.086084,16.7226104736328,51.1886750209775,12704149842.0373,4.777763173809520,39.5741545384448,49.4603920241211,5.78802687843616,38175970.971970300,26.1985275408664,1.412,17723315.0,1284000.0,Africa,6503085976.8185,5027559891.283430,2124465492.070530,606974192.6984390,1475526085.5350700,716.8043812366540,13.803204828660400
Chile,CHL,2022,3.54438569477503,71.92170000000000,18.509338780453300,35.6707253633188,301025249437.947,7.61298691181818,39.3476289866168,31.9695242130974,11.6438667110559,1078323399.8420900,54.2588625307578,7.784,19603733.0,756239.8095238100,South America,107377890001.25500,118446298304.88100,55717783233.17430,22917012840.97890,-11068408303.625700,15355.506496540600,25.92264087808880
