Country Name,Country Code,Year,Agriculture (% GDP),Ease of Doing Business,Education Expenditure (% GDP),Export (% GDP),GDP,Health Expenditure (% GDP),Import (% GDP),Industry (% GDP),Inflation Rate,R&D,Service (% GDP),Unemployment,Population,Land,Continent Name,Export,Import,Education Expenditure,Health Expenditure,Net Trade,GDP Per Capita,Population Density
United States of America,USA,2022,1.0607049833558900,83.668618,14.404179659756800,11.468218493857000,25462700000000.0,15.575834274285700,15.215216523787900,19.743834790787800,8.00279982052117,702603669389.7820,75.64113524277080,3.611,333287557.0,9755517.61904762,North America,2920118070435.32,3874204937802.54,3667693054224.880,3966027953758.550,-954086867367.2200,76398.59174220540,34.16400543926620
China,CHN,2022,7.29999788465975,68.171342,11.994663596153200,20.6770025053561,17963170521079.8,4.553863558571430,17.4668169277955,39.9241138211705,1.9735755573906,298304706650.76900,52.7758882941698,4.886,1412175000.0,9600003.733333330,Asia,3714245218685.0600,3137594109344.7400,2154621875206.8900,818018276323.4980,576651109340.3210,12720.21563976120,147.10150529385900
Japan,JPN,2022,1.1318285980481700,77.90445400000000,8.254857713525950,14.999613864498300,4231141201863.17,9.186331158095240,14.7282220110639,28.911817149670100,2.49770278172251,133360090414.17000,69.72223973786520,2.641,125124989.0,377935.6666666670,Asia,634654842341.1670,623171869812.005,349274685872.17600,388686642569.7620,11482972529.161500,33815.3172733799,331.0748363698580
Germany,DEU,2022,1.10932105868815,79.49248,10.570055262247700,50.3378544368446,4072191736089.51,10.90196886909090,48.2812996987368,26.6773121630183,6.87257438551099,111238957631.06200,62.6827167996276,2.989,84079811.0,357247.14285714300,Europe,2049853948501.9500,1966107096408.570,430432916889.3450,443949075358.171,83746852093.3833,48432.455873259600,235.3547472138140
India,IND,2022,16.6183527742932,61.98211000000000,14.062506854534200,22.4494377646999,3385089881935.39,3.5457746295238100,26.9236562932426,25.6208066930625,6.6990341407985,25300482424.8091,48.5828246313961,7.33,1417173173.0,3287260.0,Asia,759933646324.2390,911389965029.6160,476028496679.3060,120027658220.24300,-151456318705.37700,2388.621197767610,431.11076489234200
United Kingdom,GBR,2022,0.709486608666053,83.39890600000000,12.803906622387100,32.7226463308604,3070667732359.21,9.332586959545460,36.2003951449039,17.8609992301017,7.92204883147916,49698372900.83010,70.9539594370349,3.571,66971411.0,243610.0,Europe,1004803742055.7600,1111593852701.0900,393165429135.0450,286572736361.1260,-106790110645.33900,45850.42612226300,274.9124050736830
France,FRA,2022,1.80484978883443,76.39845200000000,9.670713329315190,34.0127739939978,2782905325624.52,10.843351136190500,38.1307391305829,17.3828183385786,5.22236748369725,60326231963.741900,70.3181919489555,7.445,67935660.0,549101.2795238090,Europe,946543298871.5960,1061142369964.9800,269126796267.3930,301760196245.21200,-114599071093.38800,40963.83733704100,123.72154743277100
Russia,RUS,2022,3.90141771321053,76.292522,11.225775618302200,28.1889031982231,2240422438363.27,5.240591752857140,15.5852112162007,32.7935315983555,9.925565840704250,24726497010.038000,53.9762519415362,6.548636363636360,143555736.0,17098245.23809520,Europe,631550512381.4920,349174569154.0700,251504795832.75500,117411393534.02600,282375943227.42200,15606.638235363000,8.395933851747250
Canada,CAN,2022,1.823739107908430,79.583546,12.082511742909700,33.7184874326734,2139840023673.81,10.150308565454500,33.5439527000462,26.864927490882100,6.80280115341612,39014673771.80390,64.6010144123475,5.209,38929902.0,9879750.0,North America,721521689461.769,717786925397.8000,258546422139.8710,217200365209.9870,3734764063.968870,54966.48883610880,3.940373187580660
Italy,ITA,2022,1.96011468118647,72.51951,8.705833366939,37.1496143631398,2010431598465.38,8.562253365454550,38.6903651963886,23.0319812926524,8.20128991161718,24591666598.413900,64.793319929837,8.094,58856847.0,302068.90476190500,Europe,746867585864.5960,777843327469.8480,175024824918.68400,172138247199.76400,-30975741605.25240,34157.990122464100,194.8457655593250
Brazil,BRA,2022,6.81318197126279,56.827378,13.936185134084600,20.045538006281,1920095560995.06,8.551063401428570,19.2944556126532,20.6976228826191,9.2801060895687,21547235540.07880,58.9099871277796,9.461,215313498.0,8515770.0,South America,384893485436.1790,370471985736.71600,267588072131.612,164188588788.70300,14421499699.463000,8917.673897969280,25.28409034062690
Australia,AUS,2022,3.17268869332033,80.657646,13.54875940435070,25.8121626590318,1675418665067.09,8.83534510952381,19.9417423001917,27.8759975418473,6.59409671341847,33768641551.45060,62.4279411758337,3.661,25978935.0,7741220.0,Oceania,432461791046.8970,334107672636.99100,226998443945.52500,148029021088.05400,98354118409.90550,64491.42988606310,3.355922580678500
South Korea,KOR,2022,1.58638909635271,83.796322,14.3753856931414,48.2565227414909,1665245538594.96,5.84117080952381,48.5265387995159,31.7575181493254,5.08788760792858,55971082860.301000,58.2429412625214,2.788,51628117.0,99967.61904761900,Asia,803589592033.7390,808086022393.4910,239385468910.8550,97269836307.30640,-4496430359.751340,32254.624715345700,516.448400910771
