Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,
,Country Name,Country Code,Year,Agriculture (% GDP),Ease of Doing Business,Education Expenditure (% GDP),Export (% GDP),GDP,Health Expenditure (% GDP),Import (% GDP),Industry (% GDP),Inflation Rate,R&D,Service (% GDP),Unemployment,Population,Land,Continent Name,Export,Import,Education Expenditure,Health Expenditure,Net Trade,GDP Per Capita,Population Density
,Argentina,ARG,2022,6.44416917103214,57.686538,14.630312420073000,16.7780368212333,632770284408.51,8.83831249047619,15.2982909529659,23.4032965023379,,3200751398.508980,53.0224492903165,6.491,46234830.0,2780400.0,South America,106166431311.88200,96803039172.72370,92576269510.34950,55926215082.899100,9363392139.158800,13686.008673731700,16.628841173931800
,Australia,AUS,2022,3.17268869332033,80.657646,13.54875940435070,25.8121626590318,1675418665067.09,8.83534510952381,19.9417423001917,27.8759975418473,6.59409671341847,33768641551.45060,62.4279411758337,3.661,25978935.0,7741220.0,Oceania,432461791046.8970,334107672636.99100,226998443945.52500,148029021088.05400,98354118409.90550,64491.42988606310,3.355922580678500
,Belgium,BEL,2022,0.659979812767606,73.350558,11.853204318455300,95.3284720419935,578604103123.349,9.87331245047619,97.7457529826763,20.7220338946034,9.59751172872498,13022852051.065000,68.2574516403673,5.631,11669446.0,30530.0,Europe,551574450679.769,565560937386.5780,68583126538.17630,57127390952.64370,-13986486706.809300,49582.825364918700,382.2288241074350
,Brazil,BRA,2022,6.81318197126279,56.827378,13.936185134084600,20.045538006281,1920095560995.06,8.551063401428570,19.2944556126532,20.6976228826191,9.2801060895687,21547235540.07880,58.9099871277796,9.461,215313498.0,8515770.0,South America,384893485436.1790,370471985736.71600,267588072131.612,164188588788.70300,14421499699.463000,8917.673897969280,25.28409034062690
,Canada,CAN,2022,1.823739107908430,79.583546,12.082511742909700,33.7184874326734,2139840023673.81,10.150308565454500,33.5439527000462,26.864927490882100,6.80280115341612,39014673771.80390,64.6010144123475,5.209,38929902.0,9879750.0,North America,721521689461.769,717786925397.8000,258546422139.8710,217200365209.9870,3734764063.968870,54966.48883610880,3.940373187580660
,China,CHN,2022,7.29999788465975,68.171342,11.994663596153200,20.6770025053561,17963170521079.8,4.553863558571430,17.4668169277955,39.9241138211705,1.9735755573906,298304706650.76900,52.7758882941698,4.886,1412175000.0,9600003.733333330,Asia,3714245218685.0600,3137594109344.7400,2154621875206.8900,818018276323.4980,576651109340.3210,12720.21563976120,147.10150529385900
,France,FRA,2022,1.80484978883443,76.39845200000000,9.670713329315190,34.0127739939978,2782905325624.52,10.843351136190500,38.1307391305829,17.3828183385786,5.22236748369725,60326231963.741900,70.3181919489555,7.445,67935660.0,549101.2795238090,Europe,946543298871.5960,1061142369964.9800,269126796267.3930,301760196245.21200,-114599071093.38800,40963.83733704100,123.72154743277100
,Germany,DEU,2022,1.10932105868815,79.49248,10.570055262247700,50.3378544368446,4072191736089.51,10.90196886909090,48.2812996987368,26.6773121630183,6.87257438551099,111238957631.06200,62.6827167996276,2.989,84079811.0,357247.14285714300,Europe,2049853948501.9500,1966107096408.570,430432916889.3450,443949075358.171,83746852093.3833,48432.455873259600,235.3547472138140
,India,IND,2022,16.6183527742932,61.98211000000000,14.062506854534200,22.4494377646999,3385089881935.39,3.5457746295238100,26.9236562932426,25.6208066930625,6.6990341407985,25300482424.8091,48.5828246313961,7.33,1417173173.0,3287260.0,Asia,759933646324.2390,911389965029.6160,476028496679.3060,120027658220.24300,-151456318705.37700,2388.621197767610,431.11076489234200
,Indonesia,IDN,2022,12.3996592154305,66.280608,16.758917356792200,24.4924493725873,1319100220389.02,2.668208917142860,20.9008560313116,41.4292959518952,4.2094638340216,2264645914.327110,41.7908539920084,3.554,275501339.0,1912314.6066666700,Asia,323079953652.4680,275703237972.22300,221066915788.26000,35196349706.47090,47376715680.245100,4787.99930765135,144.06695323016100
,Ireland,IRL,2022,1.08017851759956,79.833916,12.91261859167190,136.951093698858,529244870222.765,8.03354347818182,99.6221523388651,41.0525833020782,7.8073754099672,6845081744.5523800,52.3001234620715,4.362,5086988.0,70280.0,Europe,724806638115.1780,527245130858.9520,68339371507.85460,42517116755.39280,197561507256.22600,104038.94607629600,72.38173022196930
,Israel,ISR,2022,1.6170409395111200,74.638542,14.160981087457600,31.9108268239588,522033446211.625,7.140523093333330,28.6240977013041,20.237601399612800,4.3935966591265,22411989603.58170,68.06418721497470,3.476,9550600.0,22070.0,Asia,166585188983.73600,149427363677.1000,73925057588.23120,37275918781.664900,17157825306.635400,54659.753964319,432.74127775260500
,Italy,ITA,2022,1.96011468118647,72.51951,8.705833366939,37.1496143631398,2010431598465.38,8.562253365454550,38.6903651963886,23.0319812926524,8.20128991161718,24591666598.413900,64.793319929837,8.094,58856847.0,302068.90476190500,Europe,746867585864.5960,777843327469.8480,175024824918.68400,172138247199.76400,-30975741605.25240,34157.990122464100,194.8457655593250
,Japan,JPN,2022,1.1318285980481700,77.90445400000000,8.254857713525950,14.999613864498300,4231141201863.17,9.186331158095240,14.7282220110639,28.911817149670100,2.49770278172251,133360090414.17000,69.72223973786520,2.641,125124989.0,377935.6666666670,Asia,634654842341.1670,623171869812.005,349274685872.17600,388686642569.7620,11482972529.161500,33815.3172733799,331.0748363698580
,"Korea, Rep.",KOR,2022,1.58638909635271,83.796322,14.3753856931414,48.2565227414909,1665245538594.96,5.84117080952381,48.5265387995159,31.7575181493254,5.08788760792858,55971082860.301000,58.2429412625214,2.788,51628117.0,99967.61904761900,Asia,803589592033.7390,808086022393.4910,239385468910.8550,97269836307.30640,-4496430359.751340,32254.624715345700,516.448400910771
,Mexico,MEX,2022,4.14990925789374,72.24332800000000,19.3104967820017,43.354093459063,1414187193992.25,5.585031850476190,46.1269635139675,32.1300397174628,7.89627619168544,5481780143.373970,58.7684189526905,3.308,127504125.0,1964378.3333333300,North America,613108037769.5010,652321610992.006,273086572587.35400,78982805209.82270,-39213573222.50540,11091.305430253700,64.90813039239730
,Netherlands,NLD,2022,1.66980809319306,75.876046,11.90035225096200,92.6376932933554,991114635529.187,9.745225580454550,83.212882469565,18.9132647531944,10.0012078753473,19020561207.34700,68.8420779739605,3.538,17703090.0,41537.619047619000,Europe,918145736247.0850,824735056801.56,117946132838.81200,96586356993.21920,93410679445.52540,55985.40342557070,426.19414414930800
,Norway,NOR,2022,1.55198985558538,82.47812200000000,15.657228651500900,55.6735263925182,579267365866.343,9.17939883909091,27.3252958742707,48.686510546539,5.76412317852271,10142629787.769200,42.149381963893,3.171,5457127.0,476585.13761904800,Europe,322498569818.84300,158286521626.0720,90697215977.21950,53173261857.56760,164212048192.77100,106148.77862771800,11.450476670890400
,Poland,POL,2022,2.13073205714332,77.15643,11.523282823108500,61.7182765730305,688176605954.787,6.196334232272730,60.6053997669283,29.8329869854697,14.4294507575757,5550865300.135230,56.8230203163582,2.602,37561599.0,312685.2380952380,Europe,424730740974.0700,417072183141.3780,79300536626.63900,42641722613.269100,7658557832.692080,18321.280889953200,120.12591073634100
,Russian Federation,RUS,2022,3.90141771321053,76.292522,11.225775618302200,28.1889031982231,2240422438363.27,5.240591752857140,15.5852112162007,32.7935315983555,9.925565840704250,24726497010.038000,53.9762519415362,6.548636363636360,143555736.0,17098245.23809520,Europe,631550512381.4920,349174569154.0700,251504795832.75500,117411393534.02600,282375943227.42200,15606.638235363000,8.395933851747250
,Russian Federation,RUS,2022,3.90141771321053,76.292522,11.225775618302200,28.1889031982231,2240422438363.27,5.240591752857140,15.5852112162007,32.7935315983555,9.925565840704250,24726497010.038000,53.9762519415362,6.548636363636360,143555736.0,17098245.23809520,Asia,631550512381.4920,349174569154.0700,251504795832.75500,117411393534.02600,282375943227.42200,15606.638235363000,8.395933851747250
,Saudi Arabia,SAU,2022,2.40583960614005,63.082024,20.379313468933100,39.917844434711,1108148978218.49,4.402426996842110,23.2160667000708,53.3282752750557,2.47407371925372,4029968423.3217700,39.1989424681961,5.635,36408820.0,2149690.0,Asia,442349185230.0960,257268605919.3580,225833153973.9250,48785449782.32070,185080579310.73900,30436.27830340260,16.936776930627200
,Spain,ESP,2022,2.40831944348162,77.364102,10.284808522179000,41.5513281511377,1397509272054.48,8.478084404761910,40.1418724022461,20.7613849061267,8.39057634118639,16658882902.93760,67.7449009425005,13.009,47615034.0,505601.1526666670,Europe,580683663573.9330,560986388797.6680,143731152710.50100,118482015649.15200,19697274776.265100,29350.16852144810,94.17508988827740
,Sweden,SWE,2022,1.40702450890398,81.99354600000000,13.936792873200900,52.5863535243361,585939170123.856,9.511860415,50.1589515005562,23.7159519811229,8.36929098869187,19663103876.205400,63.8653630168792,7.358,10486941.0,478327.3997142860,Europe,308124043438.892,293900944165.1860,81661128503.11420,55733715978.99060,14223099273.705600,55873.22081089770,21.924190431625000
,Switzerland,CHE,2022,0.612466697790267,76.53843200000000,15.4226313999721,74.9747084171617,807706035351.75,10.318886348571400,62.6969650747618,24.1966993419692,2.83502798644453,22581672059.305700,72.3867299960086,4.202,8769741.0,41290.11142857140,Europe,605575244872.7920,506407170891.2300,124569524627.62900,83346267818.49930,99168073981.56160,92101.4697414382,212.39325098870100
,Turkiye,TUR,2022,6.46046479706226,72.29630400000000,10.527720255010300,37.8940143381867,905987824096.127,4.712369192857140,42.603940273982,31.8732802074889,72.3088359891207,6808563227.277000,51.1971218593943,10.03,85341241.0,785350.0,Europe,343315155965.21200,385986511467.4630,95379863665.29470,42693491113.742600,-42671355502.25100,10616.06104481330,108.6665066530850
,United Arab Emirates,ARE,2022,1.114786154810010,79.07232200000000,6.92843818664551,81.41557282675200,507534921715.453,3.3475038261904800,61.85237067035500,50.2876415133203,4.82788859594433,5132845620.181760,48.5975610175276,2.754,9441129.0,98647.90000000000,Asia,413212463810.44400,313922381060.93800,35164243326.69480,16989750923.67760,99290082749.50530,53757.86325083080,95.7053216540849
,United Kingdom,GBR,2022,0.709486608666053,83.39890600000000,12.803906622387100,32.7226463308604,3070667732359.21,9.332586959545460,36.2003951449039,17.8609992301017,7.92204883147916,49698372900.83010,70.9539594370349,3.571,66971411.0,243610.0,Europe,1004803742055.7600,1111593852701.0900,393165429135.0450,286572736361.1260,-106790110645.33900,45850.42612226300,274.9124050736830
,United States,USA,2022,1.0607049833558900,83.668618,14.404179659756800,11.468218493857000,25462700000000.0,15.575834274285700,15.215216523787900,19.743834790787800,8.00279982052117,702603669389.7820,75.64113524277080,3.611,333287557.0,9755517.61904762,North America,2920118070435.32,3874204937802.54,3667693054224.880,3966027953758.550,-954086867367.2200,76398.59174220540,34.16400543926620
